Id,Hazard
6,2.78990459442
7,6.10851335526
8,6.83383750916
9,3.62984538078
10,2.65770053864
11,3.72281575203
13,4.6654510498
14,3.135171175
16,3.08314466476
17,3.11491107941
18,4.90837812424
20,3.16069316864
27,7.9212975502
28,4.75656270981
29,2.7613670826
30,3.28883123398
34,3.21217799187
35,3.94215369225
36,3.82827162743
37,3.64855027199
38,3.34854888916
40,3.04103922844
42,4.39368009567
46,3.56902813911
47,3.82103776932
48,4.58110761642
49,7.335978508
51,4.66912031174
52,4.85889816284
53,1.81215715408
54,2.69196343422
55,2.36876726151
56,5.72688055038
57,2.6878027916
60,5.07300710678
61,2.46045255661
64,5.8440322876
65,4.24020290375
66,4.54032993317
68,5.41293811798
70,3.23281550407
71,2.43893861771
75,2.52760577202
76,3.69214177132
78,6.09627819061
80,3.08484148979
81,5.08382987976
82,4.61353111267
83,4.06041812897
85,2.52712702751
86,2.98993086815
87,3.31689214706
89,3.33191084862
90,4.00081634521
91,4.28567075729
92,4.12849140167
95,3.44981837273
97,5.23129796982
99,3.62444186211
101,3.82353496552
102,4.26661300659
103,3.19797158241
104,4.23759937286
107,4.52387571335
108,2.98431587219
111,2.6459851265
112,6.59172868729
115,5.17531681061
119,3.01676535606
121,3.78753972054
124,3.35017108917
128,5.59416866302
130,5.33158016205
131,5.56899929047
133,5.90659236908
134,4.72403240204
137,4.11625480652
138,3.96932220459
142,5.26248502731
143,4.60672044754
144,8.28890228271
145,4.51317214966
147,3.38479328156
148,4.78456878662
152,2.63872385025
154,15.7112579346
158,2.71258831024
159,3.63889360428
160,5.20349502563
161,4.89239835739
164,1.99813902378
165,3.16295719147
166,2.42633771896
167,2.94833064079
169,4.04471683502
170,5.06480932236
171,5.32843780518
175,2.88716197014
177,4.43225574493
178,6.20137214661
180,8.07598114014
182,3.80122590065
184,5.0900220871
185,5.98328781128
186,3.11271500587
190,4.28823757172
191,3.52523255348
192,2.63345956802
195,5.30931377411
196,5.44158172607
197,3.81072187424
198,4.28088712692
199,6.4145283699
200,3.22045016289
204,2.74385738373
205,4.12720012665
207,2.36246871948
208,3.39356851578
209,11.1512804031
211,6.04429531097
216,6.73179864883
217,2.04267644882
220,3.99506139755
223,5.43453741074
224,4.5213508606
230,3.23280572891
232,3.48762154579
235,3.43056988716
236,5.2478723526
238,3.31448960304
240,2.90258073807
242,3.97362041473
244,3.27999329567
245,3.61390066147
248,3.72353076935
251,3.77701330185
256,3.78263711929
258,5.13259935379
259,5.04446268082
261,4.67061853409
267,4.815305233
268,3.61555147171
270,4.98627901077
272,7.31418418884
273,2.72109270096
275,1.94171202183
276,3.08051371574
277,4.93126392365
279,3.61874318123
283,4.41499233246
284,4.18317127228
286,3.18668222427
287,4.20530605316
288,2.43875718117
289,5.99974250793
292,3.57929110527
293,4.62149000168
295,4.08474159241
297,3.70699667931
301,4.69213247299
303,3.02978754044
304,3.52061724663
305,2.53760647774
308,3.50832009315
309,4.21551847458
313,3.68482136726
314,4.99392986298
315,3.8029654026
316,2.90427780151
318,4.47105312347
320,5.2571105957
324,4.11661672592
325,2.95594859123
326,2.64711833
327,3.50866031647
328,5.91082620621
332,3.65905356407
333,7.28335857391
336,3.33245253563
339,3.9534740448
340,5.13754177094
342,4.19939994812
344,4.45655155182
345,3.48430228233
346,3.7232966423
349,4.4275393486
353,4.18700885773
355,3.80931520462
360,3.16430497169
363,3.66468262672
366,3.29548788071
367,3.40717482567
369,4.24612760544
371,5.89923810959
372,2.98184037209
374,2.67781925201
375,2.69262695312
378,3.58194112778
379,1.88479876518
381,4.38038682938
382,2.74299669266
384,2.98788905144
385,2.48107004166
387,4.09069633484
388,2.91746377945
389,5.2219247818
390,4.56866693497
393,4.16089820862
394,5.99135112762
395,3.48219132423
397,2.37353277206
398,5.10146856308
399,4.06454944611
403,3.66500520706
404,2.77279782295
406,2.85680556297
407,2.87439680099
410,2.23874163628
411,3.71057128906
412,1.83650743961
413,5.39388465881
417,4.67539834976
419,3.68942284584
422,4.32210063934
425,3.03524851799
426,4.2802066803
427,5.61679172516
432,3.13355112076
434,3.42532300949
437,3.23209118843
438,3.06582021713
440,5.35301017761
441,4.82731962204
443,2.10279726982
445,4.70687818527
447,3.08732700348
449,3.57773160934
450,3.86638689041
451,3.32339406013
453,4.63969182968
455,1.90768146515
456,4.01708459854
459,4.75122690201
461,3.10968208313
463,3.5011537075
466,4.98689031601
467,3.25869607925
469,3.48220825195
470,4.16273498535
472,4.38721704483
477,3.98973727226
481,2.32348203659
485,4.40171480179
492,3.50177955627
494,3.50444102287
497,3.52342271805
503,3.20288395882
504,4.42583942413
507,5.17019557953
509,3.27067375183
511,5.1520819664
512,3.30212545395
513,3.10243368149
516,6.3161149025
517,2.34402561188
518,3.11599469185
522,3.82732987404
525,2.63611292839
526,2.86904120445
527,6.32340621948
529,3.04545903206
534,6.15273761749
538,2.43688607216
540,5.30656909943
541,1.8965460062
542,5.27807855606
543,10.9476575851
544,5.55283355713
546,2.57094669342
547,3.15647673607
550,3.30090689659
554,3.9027428627
556,2.50238752365
558,3.83752417564
559,2.60268473625
560,4.44430160522
564,4.33484125137
565,2.19587659836
566,4.51966381073
567,5.24820327759
568,3.57802677155
570,3.08296704292
571,5.24915552139
